Domain,Category,Attribute,Description
Profile,Demographics,PRFL_3P_HOUSEHOLD_NET_WORTH_CD,Captures the customer's net worth
Profile,Demographics,PRFL_3P_HOUSEHOLD_INCOME_CD,Captures the customer's household income
Profile,Identifier,PRFL_MARRIOTT_RESIDENCE_OWNER_FLG,Captures if the customer is a Marriott residence owner
Profile,Demographics,PRFL_3P_PRESENCE_OF_CHILDREN_AGE_00_02_FLG,Captures the customer's number of children aged between 0 and 2
Profile,Demographics,PRFL_3P_PRESENCE_OF_CHILDREN_AGE_03_05_FLG,Captures the customer's number of children aged between 3 and 5
Profile,Demographics,PRFL_3P_PRESENCE_OF_CHILDREN_AGE_06_10_FLG,Captures the customer's number of children aged between 6 and 10
Profile,Demographics,PRFL_3P_PRESENCE_OF_CHILDREN_AGE_11_15_FLG,Captures the customer's number of children aged between 11 and 15
Profile,Demographics,PRFL_3P_PRESENCE_OF_CHILDREN_AGE_16_17_FLG,Captures the customer's number of children aged between 16 and 17
Profile,Preference,PRFL_PREFERRED_EMAIL_LANG_CD,Captures the customer's preferred email communication language code
Profile,Identifier,PRFL_BONVOY_MBR_PROFILE_COMPLETION_FLG,the customer is a Marriott Bonvoy member and having transaction Profiler Flag in existing Profile MRW table
Profile,Demographics,PRFL_CUSTOMER_CONTINENT_NM,The Continent name associated with the member or non-member
Profile,Demographics,PRFL_CUSTOMER_REGION_NM,The Region name associated with the member or non-member
Profile,Identifier,PRFL_BUSINESS_ACCESS_ACCOUNT_LINK_FLG,Captures if the customer's Marriott Bonvoy account and Business Access by Marriott Bonvoy account (through Spotnana) are currently linked
Profile,Demographics,PRFL_3P_WINDFALL_INVESTABLE_ASSETS_RANGE_TXT,Captures the customer's investable assets range
Profile,Demographics,PRFL_3P_WINDFALL_HOUSEHOLD_NET_WORTH_AMT,Captures the customer's household net worth amount
Profile,Identifier,PRFL_VACATION_CLUB_OWNER_FLG,Captures if the customer's Marriott Bonvoy account and vacation club owner account are currently linked
Profile,Demographics,PRFL_CUSTOMER_BIRTH_MONTH_AND_DT,Captures the customer's birth month and date
Profile,Preference,PRFL_BOUTIQUE_BRAND_SUBSCRIPTION_LIST_CD,Captures the customer's boutique brand subscription list
Profile,Preference,PRFL_GROUP_SPORTS_STAY_FLG_2YR,Capture if the customer has had at least one stay in the last 2 years associated with any group sports
Profile,Preference,PRFL_YOUTH_SPORTS_STAY_FLG_2YR,Capture if the customer has had at least one stay in the last 2 years associated with any youth sports
Profile,Demographics,PRFL_COMM_MOBILE_PHONE_USER_VERIFIED_FLG,"Captures ""y"" value expected on profiles where the ""mobile telephone"" / ""MT"" phone number on the UGI profile has been verified by the customer, either via a one-time process such as OTP or MFA or via ongoing login credential"
Profile,Segmentation,ANLY_LUXURY_SEGMENT_NM,"Serves as a classification identifier for various luxury segments, for active members and non-members based on their luxury preferences."
Profile,Segmentation,ANLY_RES_BRAND_CATEGORY_MOST_STAYS_2YR,Capture the customer's most stayed brand in last 2 years
Profile,Segmentation,ANLY_RES_BRAND_CATEGORY_MOST_STAYS_5YR,Capture the customer's most stayed brand tier in last 5 years
Profile,Segmentation,ANLY_RES_BRAND_MOST_STAYS_2YR,capture the customer's most stayed brand in last 2 years
Profile,Segmentation,ANLY_RES_BRAND_MOST_STAYS_5YR,Captures the customer's most stayed brand in last 5 years
Profile,Segmentation,ANLY_RES_MOST_RECENT_BRAND_STAY_2YR,Captures the customer's most recently stayed brand in last 2 years
Profile,Segmentation,ANLY_RES_MOST_RECENT_STAY_DT_2YR,Captures the customer's most recently stayed date in last 2 years
Profile,CLTV,ANLY_CLTV_PREDICTED_COBRAND_REVENUE_AMT_3YR,Captures the total predicted Cobrand Revenue in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_COBRAND_MI_FEE_AMT_3YR,Captures the total predicted MI fees from Cobrand in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_FOLIO_REVENUE_AMT_3YR,Captures the total predicted revenue for Folio in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_FOLIO_MI_FEE_AMT_3YR,Captures the total predicted MI Fees for Folio in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_COMPLIMENTARY_REVENUE_AMT_3YR,Captures the total predicted revenue for Complimentary Products in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_COMPLIMENTARY_MI_FEE_AMT_3YR,Captures the total predicted MI Fees for Complimentary Products in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_STAYS_REVENUE_AMT_3YR,Captures the total predicted Revenue from Stays in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_STAYS_MI_FEE_AMT_3YR,Captures the total predicted MI Fees from Stays in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_OVERALL_REVENUE_AMT_3YR,Captures the total predicted overall Revenue in the next 36 months
Profile,CLTV,ANLY_CLTV_PREDICTED_OVERALL_MI_FEE_AMT_3YR,Captures the total predicted overall MI Fees in the next 36 months
Profile,CLTV,ANLY_CLTV_LIFETIME_HIST_TRNS_CNT,Captures the total lifetime transactions of a customer
Profile,CLTV,ANLY_CLTV_LIFETIME_HIST_REVENUE_AMT,"Captures the lifetime historical sum of spend for a customer across Stays, Folio, Cobrand, and Complimentary Products"
Profile,CLTV,ANLY_CLTV_LIFETIME_HIST_MI_FEE_AMT,"Captures the total amount of spend a customer has incurred over their lifetime across Stays, Folio, Cobrand, and Complimentary Products"
Profile,Propensity,ANLY_WKND_LEISURE_STAY_BOOKING_PROPENSITY_CD_NEXT_7DY,Captures Relative likelihood the customer will book any hotel stay for weekend leisure in the next 7 days
Profile,Propensity,ANLY_LEISURE_STAY_BOOKING_PROPENSITY_CD_NEXT_7DY,Captures relative likelihood the customer will book any hotel stay for leisure in the next 7 days
Profile,Propensity,ANLY_BUSINESS_STAY_BOOKING_PROPENSITY_CD_NEXT_7DY,Captures relative likelihood the customer will book any hotel stay for business in the next 7 days
Profile,Propensity,ANLY_TOP_BUSINESS_BRAND_CD_PROPENSITY_NEXT_7DY,"Capture concatenated pipe-delimited string of brand codes where the customer is in the top 10% of Marriott customers likely to book the brand, based on a booking propensity data science model. Brand codes are ordered by that customer's propensity score (highest to lowest) with a limit of 5 brands per customer."
Profile,Propensity,ANLY_TOP_BUSINESS_REPEAT_PROP_CD_PROPENSITY_NEXT_7DY,"Captures Concatenated pipe-delimited string of property codes where the customer is in the top 25% of Marriott customers likely to book the property, based on a booking propensity data science model. Property codes are ordered by that customer's propensity score (highest to lowest) with a limit of 10 properties per customer. Includes repeat to property only (no new to property)."
Profile,Propensity,ANLY_TOP_BUSINESS_MARKET_CD_PROPENSITY_NEXT_7DY,"Captures Concatenated pipe-delimited string of markets where the customer is in the top 10% of Marriott customers likely to book the market, based on a booking propensity data science model. Markets are ordered by that customer's propensity score (highest to lowest) with a limit of 10 markets per customer."
Profile,Propensity,ANLY_TOP_LEISURE_REPEAT_PROP_CD_PROPENSITY_NEXT_7DY,"Captures Concatenated pipe-delimited string of property codes where the customer is in the top 25% of Marriott customers likely to book the property, based on a booking propensity data science model. Property codes are ordered by that customer's propensity score (highest to lowest) with a limit of 10 properties per customer. Includes repeat to property only (no new to property)"
Profile,Propensity,ANLY_TOP_LEISURE_BRAND_CD_PROPENSITY_NEXT_7DY,"Captures Concatenated pipe-delimited string of brand codes where the customer is in the top 10% of Marriott customers likely to book the brand, based on a booking propensity data science model. Brand codes are ordered by that customer's propensity score (highest to lowest) with a limit of 5 brands per customer."
Profile,Propensity,ANLY_TOP_LEISURE_MARKET_CD_PROPENSITY_NEXT_7DY,"Captures concatenated pipe-delimited string of markets where the customer is in the top 10% of Marriott customers likely to book the market for leisure, based on a booking propensity data science model. Markets are ordered by that customer's propensity score (highest to lowest) with a limit of 10 markets per customer"
Privacy,,PRFL_COMM_EMAIL_CONSENT_IND,Indicates whether an individual has given consent to receive communications via email.
Privacy,,PRFL_COMM_MOB_PUSH_MKTG_CONSENT_PC_FLG,Captures customer's consent status regarding mobile push marketing communications
Privacy,,PRFL_COMM_MOB_PUSH_TRAN_CONSENT_PC_FLG,Captures the customer's consent status regarding mobile push communications related to transactions
Privacy,,PRFL_ENTERPRISE_MARKETING_EXCLUSION_CD,"Captures the concatenated, comma-separated string of marketing campaign exclusion codes that currently apply to the customer. Each exclusion code represents a possible scenario where we might want to suppress marketing"
Loyalty,Enrollment,PRFL_LOYALTY_ENROLL_DT,Captures the members enrollment date in the loyalty program
Loyalty,Tier,PRFL_ACCOUNT_LEVEL_DESC_TXT,Captures Bonvoy Member enrollment status level
Loyalty,PAM,PRFL_LOYALTY_L12_POINT_ACTIVE_MEMBER_IND,Captures the last 12 months ACTIVE_MEMBER_IND where either customer has ACTIVE_MEMBER_IND
Loyalty,PAM,PRFL_LOYALTY_L24_POINT_ACTIVE_MEMBER_IND,Captures the last 24 months ACTIVE_MEMBER_IND where either customer has ACTIVE_MEMBER_IND
Loyalty,Point,PRFL_LAST_REDEEMED_POINTABLE_ACTIVITY_DT,Captures the customer who has REDEEMED POINTABLE ACTIVITY DT
Loyalty,Point,PRFL_LAST_REDEEMED_POINTABLE_ACTIVITY_TYPE,Captures the customer who has REDEEMED POINTABLE ACTIVITY TYPE
Loyalty,Point,PRFL_LAST_EARNED_POINTABLE_ACTIVITY_TYPE,Captures the customers who have EARNED POINTABLE ACTIVITY
Loyalty,Point,PRFL_LAST_EARNED_POINTABLE_ACTIVITY_DT,Captures the customers who has EARNED POINTABLE ACTIVITY DT
Loyalty,Point,PRFL_CURRENT_POINT_BLNC_CNT,Captures the reward point balance for customers
Loyalty,Tier,PRFL_YTD_ELITE_NIGHT_CREDITS_CNT,Captures the number of qualifying elite night credits (ENCs) the member has achieved in the current earning year period
Loyalty,Tier,PRFL_YTD_ELITE_QUALIFYING_SPEND_AMT,Captures the customer's total USD spent on qualifying charges toward earning Ambassador Elite status in the current earning year period
Loyalty,Benefit,PRFL_PRIOR_YR_TITANIUM_ACB_STATUS_TXT,Indicator of member's eligibility and selection status for their 75 night Annual Choice Benefit for the prior loyalty year.
Loyalty,Benefit,PRFL_PRIOR_YR_PLATINUM_ACB_STATUS_TXT,Indicator of member's eligibility and selection status for their 50-night Annual Choice Benefit for the prior loyalty year.
Loyalty,Benefit,PRFL_CURRENT_YR_TITANIUM_ACB_STATUS_TXT,Indicator of member's eligibility and selection status for their 75-night Annual Choice Benefit for the current loyalty year.
Loyalty,Benefit,PRFL_CURRENT_YR_PLATINUM_ACB_STATUS_TXT,Indicator of member's eligibility and selection status for their 50-night Annual Choice Benefit for the current loyalty year.
Loyalty,Point,PRFL_RCYC_POINTS_TRANSACTION_FLG_5YR,"Captures ""Y"" for customers who have earned or redeemed RCYC transactions in last 5 years"
Loyalty,Point,PRFL_BONVOY_POINTS_EXPIRATION_DT,Captures the date of members points balance expires due to inactivity
Loyalty,Point,PRFL_POINT_EARNING_TRNS_CNT_2YR,"Captures the Integer 0-9999 for all members,0 value represents member who has had 0 point-earning transactions in the last 2 years and null value for non-members"
Loyalty,Tier,PRFL_ACHIEVE_LEVEL_REASON_CD,"Captures how the member's current level (e.g., Gold) was achieved, such as through elite night credit earnings, cobrand credit card, partnership status match, etc., provides summary of code value to descriptive Name text so that we can determine which expected values make sense to store"
Loyalty,Tier,PRFL_CURRENT_YR_AMBASSADOR_PLUS_ONE_ACB_STATUS_TXT,"Captures Indicator of member's eligibility and selection status for their AmbassadorPlusOne benefit for the current loyalty year. 
Expected values: 
""INELIGIBLE"" - members who are not (yet) eligible for the PlusOne benefit, 
""ELIGIBLE"" - members who are eligible for the PlusOne benefit but have not yet selected, 
""SELECTED"" - members who are eligible and who have selected their 
""PlusOne Null"" - non-members"
Loyalty,Tier,PRFL_PRIOR_YR_AMBASSADOR_PLUS_ONE_ACB_STATUS_TXT,"Captures Indicator of member's eligibility and selection status for their AmbassadorPlusOne benefit for the current loyalty year. 
Expected values: 
""INELIGIBLE"" - members who are not (yet) eligible for the PlusOne benefit, 
""ELIGIBLE"" - members who are eligible for the PlusOne benefit but have not yet selected, 
""SELECTED"" - members who are eligible and who have selected their 
""PlusOne Null"" - non-members"
Loyalty,PAM,PRFL_PAM_LAST_EARNED_TRANS_POINTS_AMT_24M,Captures the Transaction Points for the customers who has EARNED POINTABLE ACTIVITY
Loyalty,PAM,PRFL_PAM_LAST_EARNED_TRANS_TYPECAT_TXT_24M,Captures the Category of the Last point-earning transaction
Loyalty,PAM,PRFL_PAM_LAST_REDEEMED_TRANS_POINTS_AMT_24M,Captures the Transaction Points for the customers who has REDEMPTION POINTABLE ACTIVITY
Loyalty,PAM,PRFL_PAM_LAST_REDEEMED_TRANS_TYPECAT_TXT_24M,Captures the Category of the Last point-redemption transaction
Loyalty,Moments,PRFL_MOMENTS_ARTS_AND_LIFESTYLE_BID_CNT_24M,Captures Integer value 0-9999 counting the number of distinct times the customer has a momentsbid for Arts and Lifestyle Category and BID_TYPE is in AUCTION in the last 2 years
Loyalty,Moments,PRFL_MOMENTS_CULINARY_BID_CNT_24M,Captures Integer value 0-9999 counting the number of distinct times the customer has a moments bid for Culinary Category and BID_TYPE is in AUCTION in the last 2 years
Loyalty,Moments,PRFL_MOMENTS_ENTERTAINMENT_BID_CNT_24M,Captures Integer value 0-9999 counting the number of distinct times the customer has a moments bid for Entertainment Category and BID_TYPE is in AUCTION in the last 2 years
Loyalty,Moments,PRFL_MOMENTS_SPORTS_BID_CNT_24M,Captures Integer value 0-9999 counting the number of distinct times the customer has a moments bid for Sports Category and BID_TYPE is in AUCTION in the last 2 years
Loyalty,Moments,PRFL_MOMENTS_REDEMPTION_CNT_24M,Captures Integer value 0-9999 counting the number of distinct times the customer has a moments Redemption in the last 2 years
Cobrand,Cobrand,PRFL_CC_PROD_RPC_CD,Captures the Credit Card RPC_CD for customers
Cobrand,Cobrand,PRFL_CC_IND,Captures if the customer is a cardholder
Partnerships,Partnerships,PRFL_HERTZ_TRAN_CNT,Captures the total transaction count for the Partner Hertz of the customer
Partnerships,Partnerships,PRFL_MARRIOTT_EAT_TRAN_CNT,Captures the customer's total dining transactions linked to the partner Eat Around Town
Partnerships,Partnerships,PRFL_UA_BINDING_FLG,Captures the customers who has a strategic account binding with partner United Airlines
Partnerships,Partnerships,PRFL_UBER_TRAN_CNT,Captures the customers total transaction counts with partner Uber
Partnerships,Partnerships,PRFL_UBER_BINDING_FLG,Captures the customers who has an account binding with partner Uber
Partnerships,Partnerships,PRFL_STARBUCKS_BINDING_FLG,Captures the customers who has an account binding with partner Starbucks
Partnerships,Partnerships,PRFL_CATHAY_STRATEGIC_BINDING_FLG,Captures if the customer is linked to “STRATEGIC PARTNERSHIP” for CATHAY AIRWAYS
Partnerships,Partnerships,PRFL_EMIRATES_STRATEGIC_BINDING_FLG,Captures if the customer is linked to “STRATEGIC PARTNERSHIP” for EMIRATES AIRWAYS
Partnerships,Partnerships,PRFL_SINGAPOREAIR_STRATEGIC_BINDING_FLG,Captures the Counts of STRATEGIC partnerships for a customer of SINGAPORE airline
Partnerships,Partnerships,PRFL_EMIRATES_MILESEARNER_FLG,Captures if the customer is linked to “MILES EARNER” partnership for EMIRATES airline
Partnerships,Partnerships,PRFL_CATHAY_MILESEARNER_FLG,"Captures if the customer is linked to “MILES EARNER” partnership for CATHAY airline,"
Partnerships,Partnerships,PRFL_AVIANCA_MILESEARNER_FLG,Captures if the customer is linked to “MILES EARNER” partnership for AVIANCA airline
Partnerships,Partnerships,PRFL_AEROMEXICO_MILESEARNER_FLG,Captures if the customer is linked to “MILES EARNER” partnership for AEROMEXICO airline
Partnerships,Partnerships,PRFL_COPA_MILESEARNER_FLG,Captures if the customer is linked to “MILES EARNER” partnership for COPA AIRLINES
Partnerships,Partnerships,PRFL_SINGAPOREAIR_MILESEARNER_FLG,Captures if the customer is linked to “MILES EARNER” partnership for Singapore Airlines
Partnerships,Partnerships,PRFL_LATAM_MILESEARNER_FLG,Captures if  the customer is linked to “MILES EARNER” partnership for LATAM airline
Partnerships,Partnerships,PRFL_UNITED_MILESEARNER_FLG,Captures if  the customer is linked to “MILES EARNER” partnership for UNITED airline
Partnerships,Partnerships,PRFL_AEROMEXICO_NONSTRATEGIC_TRNS_CNT,Captures the Counts of NONSTRATEGIC partnerships for a customer of AEROMEXICO airline
Partnerships,Partnerships,PRFL_AVIANCA_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of AVIANCA airline in the past 2 years
Partnerships,Partnerships,PRFL_CATHAY_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of CATHAY AIRWAYS airline in the past 2 years
Partnerships,Partnerships,PRFL_COPA_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of Copa airline in the past 2 years
Partnerships,Partnerships,PRFL_UNITED_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of UNITED airline in the past 2 years
Partnerships,Partnerships,PRFL_SINGAPOREAIR_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of SINGAPOREAIR airline in the past 2 years
Partnerships,Partnerships,PRFL_LATAM_NONSTRATEGIC_TRNS_CNT,Capture the counts of NONSTRATEGIC partnerships for a customer of LATAM airline in the past 2 years
Partnerships,Partnerships,PRFL_EMIRATES_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of EMIRATES airline
Partnerships,Partnerships,PRFL_RAPPI_BINDING_FLG,Captures the customers who has an account binding with partner Rappi
Partnerships,Partnerships,PRFL_BRITISHAIR_MILESEARNER_FLG,"Captures if the customer is linked to ""MILES EARNER"" partnership for BRITISH AIRWAYS airline"
Partnerships,Partnerships,PRFL_BRITISHAIR_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of BRITISH AIRWAYS airline in the past 2 years
Partnerships,Partnerships,PRFL_SIXT_TRNS_CNT,Captures the customers total count of transactions with partner SIXT
Partnerships,Partnerships,PRFL_VIRGIN_AUSTRALIA_MILESEARNER_FLG,"Captures if the customer is linked to ""MILES EARNER"" partnership for Virgin Australia airline"
Partnerships,Partnerships,PRFL_VIRGIN_AUSTRALIA_NONSTRATEGIC_TRNS_CNT,Captures the counts of NONSTRATEGIC partnerships for a customer of VIRGIN AUSTRALIA airline in the past 2 years
Partnerships,Partnerships,PRFL_LUFTHANSA_MILESEARNER_FLG,"Captures if the customer is linked to ""MILES EARNER"" partnership for Lufthansa airline"
Partnerships,Partnerships,PRFL_RAKUTEN_BINDING_FLG,Captures the customers who has an account binding with partner Rakuten
Partnerships,Partnerships,PRFL_AIRLINE_PARTNER_MILE_TO_POINT_TRANSFER_FLG_24M,capture customer has transferred airline miles from any airline partner to Bonvoy points in the last 2 years
Partnerships,Partnerships,PRFL_SSG_DUTY_FREE_STRATEGIC_BINDING_FLG,Captures if the customer has linked their Marriott Bonvoy account along with SSG Duty Free account.
Partnerships,Partnerships,PRFL_SSG_DUTY_FREE_MBV_POINTS_EARNED,Captures the total number of MBV points a customer has earned through SSG Duty free Transactions
Partnerships,Partnerships,PRFL_SSG_DUTY_FREE_ACCOUNT_BINDING_DT,Captures the date when customer has linked their Marriott Bonvoy account along with SSG Duty Free account.
Partnerships,Partnerships,PRFL_FLIPKART_TRNS_CNT_2YR,Captures the total number of transactions a customer made who has an account binding with partner Flipkart
Partnerships,Partnerships,PRFL_FLIPKART_STRATEGIC_BINDING_FLG,Captures if the customer has made account binding with partner Flipkart
Partnerships,Partnerships,PRFL_FLIPKART_ACCOUNT_BINDING_DT,Captures the date when customer has linked their Marriott Bonvoy account along with Flipkart Plus account.
Partnerships,Partnerships,PRFL_NECTAR_ACCOUNT_BINDING_DT,Captures the date when customer has linked their Marriott Bonvoy account along with Nectar account.
Partnerships,Partnerships,PRFL_NECTAR_ACCOUNT_BINDING_FLG,Captures if the customer has made account binding with partner Nectar
Partnerships,Partnerships,PRFL_UBER_ONE_STRATEGIC_BINDING_FLG,Captures the customers who has an account binding with partner UBER ONE
Partnerships,Partnerships,PRFL_TURKISHAIR_NONSTRATEGIC_TRNS_CNT,Capture 0-99999 count of distinct miles-to-points or points-to-miles transactions customer has completed between Marriott Bonvoy and Turkish Airlines in the last 2 years
Partnerships,Partnerships,PRFL_POSTCARD_CABINS_EXT_CUSTOMER_FLG,"Capture ""Y"" flag on customer profiles (members and non-members resolved to an AltCustID) identified as a PostcardCabinscustomer in the last 2 years"
Partnerships,Partnerships,PRFL_MEITUAN_STRATEGIC_BINDING_FLG,Capture if the customer is linked to “'STRATEGIC-PARTNERSHIP-MEITUAN'”
Partnerships,Partnerships,PRFL_MEITUAN_STRATEGIC_BINDING_DT,Capture date if the customer is linked to “'STRATEGIC-PARTNERSHIP-MEITUAN'”
Partnerships,Partnerships,PRFL_DIANPING_STRATEGIC_BINDING_FLG,Capture if the customer is linked to “'STRATEGIC-PARTNERSHIP-DIANPING'”
Partnerships,Partnerships,PRFL_DIANPING_STRATEGIC_BINDING_DT,Capture date if the customer is linked to “'STRATEGIC-PARTNERSHIP-DIANPING'”
Partnerships,Partnerships,PRFL_STARBUCKS_ACCOUNT_BINDING_DT,Captures the date when customer has linked their Marriott Bonvoy account along with Starbucks account.
Partnerships,Partnerships,PRFL_LUFTHANSA_MILES_AND_MORE_ACCOUNT_BINDING_SRC_TXT,"Capture Enumerated string value indicating which relationship type ID corresponds with the customer's current Lufthansa account binding. 
If STRATEGIC-PARTNERSHIP-LUFTHANSA-COBRAND relationship type ID, then expected value ""COBRAND"".
If STRATEGIC-PARTNERSHIP-LUFTHANSA relationship type ID, then expected value ""STANDARD"".
Else null"
Partnerships,Partnerships,PRFL_LUFTHANSA_MILES_AND_MORE_ACCOUNT_BINDING_DT,Capture Date value when the member established a link between their Marriott Bonvoy and Miles & More accounts
Partnerships,Partnerships,PRFL_LUFTHANSA_MILES_AND_MORE_ACCOUNT_BINDING_FLG,"Capture Flag value indicating customer's account binding status with the Lufthansa Miles & More program strategic partnership, through either of the two relationship type IDs: 
STRATEGIC-PARTNERSHIP-LUFTHANSA or STRATEGIC-PARTNERSHIP-LUFTHANSA-COBRAND ""y"" flag for members who have linked their Marriott Bonvoy andMiles & Moreaccounts via the strategic partnership.
Null for all non-members and members who have not linked with Miles & More"
Engagement,Marketing Email Engagement,INTR_MARKETING_EMAIL_CLICK_CNT_24M,Captures the customer’s marketing email click count over the past 24 months.
Engagement,Marketing Email Engagement,INTR_RES_TRANSACTION_EMAIL_CLICK_CNT_24M,Captures the customer’s reservation transaction email click counts for last 24 months
Engagement ,Digital Interaction,INTR_DIGITAL_TOTAL_SITE_VISIT_CNT_24M,Captures the member’s total digital interaction for the last 24 months as total count of website visits
Engagement ,Digital Interaction,INTR_DIGITAL_MOBILE_APP_VISIT_CNT_24M,Captures the member’s interaction with mobile app for the last 24 months
